id;code;date;details;status;payment_method;payment_date;payment_amount
1;Texas Focused;2023-03-26T10:24:42;Loop;CANCELLED;PAYPAL;2023-03-26T04:45:07;22604
2;calculating;2023-03-26T10:53:05;haptic 1080p;ISSUED;PAYPAL;2023-03-25T22:06:45;10489
3;national Frozen Berkshire;2023-03-26T11:07:55;Account Borders Home;PAID;CREDIT_CARD;2023-03-26T01:50:46;36325
4;monitor;2023-03-25T21:10:31;parse intuitive Division;CANCELLED;PAYPAL;2023-03-25T22:45:32;13687
5;synergy transmitting;2023-03-25T21:12:46;parse Gloves;ISSUED;PAYPAL;2023-03-26T05:49:24;92472
6;function;2023-03-26T02:06:14;Fresh;CANCELLED;CASH_ON_DELIVERY;2023-03-26T13:13:15;26944
7;Maine;2023-03-26T12:32:37;RAM;ISSUED;PAYPAL;2023-03-26T17:34:29;32458
8;Analyst Agent;2023-03-26T16:27:19;Awesome Salad compressing;ISSUED;CASH_ON_DELIVERY;2023-03-26T13:29:01;79389
9;Salad;2023-03-25T22:36:01;Gorgeous;ISSUED;CREDIT_CARD;2023-03-26T07:22:25;62169
10;Pants Wooden Intuitive;2023-03-26T07:59:58;array Arizona Vermont;CANCELLED;CASH_ON_DELIVERY;2023-03-26T03:54:35;58737
